id,company,track,title,url,publish_date,authors,in_scope,scope_reason
gr-r-training-machine-learning-models-more-efficiently-with-dataset-distillation,google-research,research,Training Machine Learning Models More Efficiently with Dataset Distillation,https://research.google/blog/training-machine-learning-models-more-efficiently-with-dataset-distillation/,,,TRUE,
gr-r-google-at-emnlp-2022,google-research,research,Google at EMNLP 2022,https://research.google/blog/google-at-emnlp-2022/,,,TRUE,
gr-r-making-a-dual-of-a-traversable-wormhole-with-a-quantum-computer,google-research,research,Making a Dual of a Traversable Wormhole with a Quantum Computer,https://research.google/blog/making-a-dual-of-a-traversable-wormhole-with-a-quantum-computer/,,,TRUE,
gr-r-formation-of-robust-bound-states-of-interacting-photons,google-research,research,Formation of robust bound states of interacting photons,https://research.google/blog/formation-of-robust-bound-states-of-interacting-photons/,,,TRUE,
gr-r-accelerating-text-generation-with-confident-adaptive-language-modeling-calm,google-research,research,Accelerating text generation with Confident Adaptive Language Modeling (CALM),https://research.google/blog/accelerating-text-generation-with-confident-adaptive-language-modeling-calm/,,,TRUE,
gr-r-differential-privacy-accounting-by-connecting-the-dots,google-research,research,Differential privacy accounting by connecting the dots,https://research.google/blog/differential-privacy-accounting-by-connecting-the-dots/,,,TRUE,
gr-r-rt-1-robotics-transformer-for-real-world-control-at-scale,google-research,research,RT-1: Robotics Transformer for real-world control at scale,https://research.google/blog/rt-1-robotics-transformer-for-real-world-control-at-scale/,,,TRUE,
gr-r-talking-to-robots-in-real-time,google-research,research,Talking to Robots in Real Time,https://research.google/blog/talking-to-robots-in-real-time/,,,TRUE,
gr-r-will-you-find-these-shortcuts,google-research,research,Will You Find These Shortcuts?,https://research.google/blog/will-you-find-these-shortcuts/,,,TRUE,
gr-r-who-said-what-recorders-on-device-solution-for-labeling-speakers,google-research,research,Who said what? Recorder's on-device solution for labeling speakers,https://research.google/blog/who-said-what-recorders-on-device-solution-for-labeling-speakers/,,,TRUE,
gr-r-ehr-safe-generating-high-fidelity-and-privacy-preserving-synthetic-electronic-health-records,google-research,research,EHR-Safe: Generating high-fidelity and privacy-preserving synthetic electronic h,https://research.google/blog/ehr-safe-generating-high-fidelity-and-privacy-preserving-synthetic-electronic-health-records/,,,TRUE,
gr-r-better-language-models-without-massive-compute,google-research,research,Better Language Models Without Massive Compute,https://research.google/blog/better-language-models-without-massive-compute/,,,TRUE,
gr-r-private-ads-prediction-with-dp-sgd,google-research,research,Private Ads prediction with DP-SGD,https://research.google/blog/private-ads-prediction-with-dp-sgd/,,,TRUE,
gr-r-google-at-emnlp-2023,google-research,research,Google at EMNLP 2023,https://research.google/blog/google-at-emnlp-2023/,,,TRUE,
gr-r-sparsity-preserving-differentially-private-training,google-research,research,Sparsity-preserving differentially private training,https://research.google/blog/sparsity-preserving-differentially-private-training/,,,TRUE,
gr-r-summary-report-optimization-in-the-privacy-sandbox-attribution-reporting-api,google-research,research,Summary report optimization in the Privacy Sandbox Attribution Reporting API,https://research.google/blog/summary-report-optimization-in-the-privacy-sandbox-attribution-reporting-api/,,,TRUE,
gr-r-a-new-quantum-algorithm-for-classical-mechanics-with-an-exponential-speedup,google-research,research,A new quantum algorithm for classical mechanics with an exponential speedup,https://research.google/blog/a-new-quantum-algorithm-for-classical-mechanics-with-an-exponential-speedup/,,,TRUE,
gr-r-simulations-illuminate-the-path-to-post-event-traffic-flow,google-research,research,Simulations illuminate the path to post-event traffic flow,https://research.google/blog/simulations-illuminate-the-path-to-post-event-traffic-flow/,,,TRUE,
gr-r-unsupervised-speech-to-speech-translation-from-monolingual-data,google-research,research,Unsupervised speech-to-speech translation from monolingual data,https://research.google/blog/unsupervised-speech-to-speech-translation-from-monolingual-data/,,,TRUE,
gr-r-videopoet-a-large-language-model-for-zero-shot-video-generation,google-research,research,VideoPoet: A large language model for zero-shot video generation,https://research.google/blog/videopoet-a-large-language-model-for-zero-shot-video-generation/,,,TRUE,
gr-r-advancements-in-machine-learning-for-machine-learning,google-research,research,Advancements in machine learning for machine learning,https://research.google/blog/advancements-in-machine-learning-for-machine-learning/,,,TRUE,
gr-r-valid-a-perceptually-validated-virtual-avatar-library-for-inclusion-and-diversity,google-research,research,VALID: A perceptually validated virtual avatar library for inclusion and diversi,https://research.google/blog/valid-a-perceptually-validated-virtual-avatar-library-for-inclusion-and-diversity/,,,TRUE,
